"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"16244284733";"	";"UBER";"";"";"";"24,92";"0,00";"";"Ativo";"0,00";"24,92";"	";"RICARDO PACHECO NUNES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"UBER";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"24,92";"0,0000";"0,0000";"0,0000";"";""
"16246822367";"	";"AGUA HOTEL";"";"";"";"18,00";"0,00";"";"Ativo";"0,00";"18,00";"	";"CLZ EVENTOS";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"AGUA HOTEL";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"18,00";"0,0000";"0,0000";"0,0000";"";""
"16246822369";"	";"AGUA HOTEL";"";"";"";"18,00";"0,00";"";"Ativo";"0,00";"18,00";"	";"CLZ EVENTOS";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"AGUA HOTEL";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"18,00";"0,0000";"0,0000";"0,0000";"";""
"16246822381";"	";"AGUA HOTEL";"";"";"";"18,00";"0,00";"";"Ativo";"0,00";"18,00";"	";"CLZ EVENTOS";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"AGUA HOTEL";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"18,00";"0,0000";"0,0000";"0,0000";"";""
"16246822386";"	";"AGUA HOTEL";"";"";"";"18,00";"0,00";"";"Ativo";"0,00";"18,00";"	";"CLZ EVENTOS";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"AGUA HOTEL";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"18,00";"0,0000";"0,0000";"0,0000";"";""
"16246822390";"	";"AGUA HOTEL";"";"";"";"18,00";"0,00";"";"Ativo";"0,00";"18,00";"	";"CLZ EVENTOS";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"AGUA HOTEL";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"18,00";"0,0000";"0,0000";"0,0000";"";""
"16247081088";"	";"ESTACIONAMENTO PEDAGIO";"";"";"";"87,70";"0,00";"";"Ativo";"0,00";"87,70";"	";"CLZ EVENTOS";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"ESTACIONAMENTO PEDAGIO";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"87,70";"0,0000";"0,0000";"0,0000";"";""
"16247564769";"	";"SERVICOS";"Uni";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16247567007";"	";"COMBUSTIVEL";"";"";"";"20,00";"0,00";"";"Ativo";"0,00";"20,00";"	";"RICARDO PACHECO NUNES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"COMBUSTIVEL";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"20,00";"0,0000";"0,0000";"0,0000";"";""
"16250061662";"	";"LIMPEZA";"Uni";"";"";"18,99";"0,00";"";"Ativo";"0,00";"18,99";"	";"RICARDO PACHECO NUNES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"LIMPEZA";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"18,99";"0,0000";"0,0000";"0,0000";"";""
"16255252615";"	";"OLEO MOTO";"";"";"";"38,00";"0,00";"";"Ativo";"0,00";"38,00";"	";"RICARDO PACHECO NUNES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"OLEO MOTO";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"38,00";"0,0000";"0,0000";"0,0000";"";""
"16266236980";"	";"ALIMENTACAO";"1";"";"0";"30,00";"0,00";"";"Ativo";"0,00";"30,00";"	";"PK LIGTHING";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"ALIMENTACAO";"";"0,00";"";"Própria";"";"";"Serviços";"";"0,00";"";"0";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"30,00";"0,0000";"0,0000";"0,0000";"";""
"16269739742";"10001	";"PLACA DE VIDEO";"1";"";"0";"2.500,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NOVO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"PATRIMONIO";""
"16271349180";"10002	";"SERVIDOR";"1";"";"0";"1,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16271349333";"10003	";"EXTREME 3D LOGITECH";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"LOGITECH";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16274693711";"10004	";"ADAPTADOR TIPO C COM HDMI";"";"";"0";"120,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16275055610";"10005	";"PASSAGEM";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16276316153";"10006	";"PLACA DE VIDEO RTX 4060 TI 16GB";"1";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16276339632";"10007	";"CARREGADOR USB-C APPLE IPHONE";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16277104137";"10008	";"FILTRO DE LINHA PROFISSIONAL FIOLUX 5";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16277104193";"000073	";"SUPORTE CLIP ROTATIVO CELULAR";"";"";"0";"0,00";"0,00";"";"Ativo";"1,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16277104384";"10010	";"COOLER PARA CELULAR";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16277104410";"10011	";"SUPORTE DUPLO SAPATA";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16278513478";"10012	";"FONTE ATX 1000W";"";"";"0";"534,99";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16279048340";"10013	";"OPTANE MEMORY";"";"";"0";"105,50";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"PATRIMONIO";""
"16279944441";"10014	";"ADAPTADOR MINI HDMI";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16279944584";"10015	";"CONECTOR RJ45";"";"";"0";"0,00";"0,00";"";"Ativo";"5,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16280272928";"000200	";"USB-C ADPATADOR RJ45";"1";"";"0";"0,00";"0,00";"";"Ativo";"1,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"FY";"";"0";"";"0";"";"";"";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16280287776";"000074	";"SUPORTE CLIP ROTATIVO CELULAR";"";"";"0";"0,00";"0,00";"";"Ativo";"1,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16280294835";"000201	";"CONTROLE XBOX USB";"1";"";"0";"0,00";"0,00";"";"Ativo";"1,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16281719211";"	";"PLACA DE CALIBRACAO DE LENTE";"";"";"0";"80,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16282219862";"	";"STORYBOARD";"";"";"0";"5,22";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16282220094";"	";"MELI PLUS";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16282220360";"	";"ESTIQUETAS PATRIMONIO";"";"";"0";"135,96";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16282220837";"	";"VARIOS";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16286422608";"000226	";"FONTE ALIMENTACAO R8";"1";"";"0";"130,17";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"PATRIMONIO";""
"16286425917";"000215	";"SPLITTER HDMI 1X8 HD 4K";"1";"";"0";"143,96";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"PATRIMONIO";""
"16288693756";"	";"CHAT GPT";"1";"";"0";"114,34";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16303221633";"	";"CAMERA CANON R8";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16303223483";"	";"ADAPTADOR LENTE CANON R8";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16513698080";"1111	";"produto teste";"1";"";"0";"10.000,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
